Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4
nan,nan,[ 828.  246.],nan,nan
nan,nan,[ 828.  838.],nan,nan
nan,nan,[ 828.  244.],nan,nan
nan,nan,[ 828.  840.],nan,nan
nan,nan,[ 828.  841.],nan,nan
nan,nan,[ 828.  846.],nan,nan
nan,nan,[ 828.  847.],nan,nan
nan,nan,[ 828.  849.],nan,nan
nan,nan,[ 828.  950.],nan,nan
nan,nan,[ 828.  852.],nan,nan
nan,nan,[ 828.  853.],nan,nan
nan,nan,[ 725.  488.],nan,nan
nan,nan,[ 725.  856.],nan,nan
nan,nan,[ 857.  488.],nan,nan
nan,nan,[ 725.  489.],nan,nan
nan,nan,[ 828.  859.],nan,nan
nan,nan,[ 828.  865.],nan,nan
nan,nan,[ 828.  964.],nan,nan
nan,nan,[ 867.  318.],nan,nan
nan,nan,[ 867.  293.],nan,nan
nan,nan,[ 867.  878.],nan,nan
nan,nan,[ 867.  318.],nan,nan
nan,nan,[ 871.  878.],nan,nan
nan,nan,[ 867.  293.],nan,nan
nan,nan,[ 867.  878.],nan,nan
nan,nan,[ 867.  878.],nan,nan
nan,nan,[ 867.  293.],nan,nan
nan,nan,[ 876.  867.],nan,nan
nan,nan,[ 293.  867.],nan,nan
nan,nan,[ 878.  867.],nan,nan
nan,nan,[ 292.   90.],nan,nan
nan,nan,[   90.  2849.],nan,nan
nan,nan,[  292.  2849.],nan,nan
nan,nan,[  292.  2849.],nan,nan
nan,nan,[ 279.  867.],nan,nan
nan,nan,[   42.  3016.],nan,nan
nan,nan,[ 761.  886.],nan,nan
nan,nan,[ 761.  887.],nan,nan
nan,nan,[  867.  3107.],nan,nan
nan,nan,[ 761.  890.],nan,nan
nan,nan,[ 761.  891.],nan,nan
nan,nan,[ 867.   69.],nan,nan
nan,nan,[ 761.  894.],nan,nan
nan,nan,[ 432.  292.],nan,nan
nan,nan,[ 761.  898.],nan,nan
nan,nan,[ 761.  899.],nan,nan
nan,nan,[ 761.  900.],nan,nan
nan,nan,[ 761.  901.],nan,nan
nan,nan,[ 761.  902.],nan,nan
nan,nan,[ 761.  903.],nan,nan
nan,nan,[ 761.  905.],nan,nan
nan,nan,[ 761.  906.],nan,nan
nan,nan,[ 761.  907.],nan,nan
nan,nan,[ 761.  908.],nan,nan
nan,nan,[ 761.  909.],nan,nan
nan,nan,[ 910.  448.],nan,nan
nan,nan,[ 911.  911.],nan,nan
nan,nan,[ 912.  373.],nan,nan
nan,nan,[ 912.  779.],nan,nan
nan,nan,[ 914.  917.],nan,nan
nan,nan,[ 915.  994.],nan,nan
nan,nan,[ 916.  994.],nan,nan
nan,nan,[ 917.  831.],nan,nan
nan,nan,[ 918.  918.],nan,nan
nan,nan,[ 919.  918.],nan,nan
nan,nan,[ 922.   42.],nan,nan
nan,nan,[ 923.   42.],nan,nan
nan,nan,[ 924.   42.],nan,nan
nan,nan,[   4.  244.],nan,nan
nan,nan,[   7.  244.],nan,nan
nan,nan,[   4.  246.],nan,nan
nan,nan,[    4.  1787.],nan,nan
nan,nan,[   7.  246.],nan,nan
nan,nan,[    7.  1787.],nan,nan
nan,nan,[ 934.  937.],nan,nan
nan,nan,[ 660.  937.],nan,nan
nan,nan,[ 451.  937.],nan,nan
nan,nan,[ 660.  937.],nan,nan
nan,nan,[ 451.  937.],nan,nan
nan,nan,[ 940.  810.],nan,nan
nan,nan,[ 660.  937.],nan,nan
nan,nan,[ 451.  937.],nan,nan
nan,nan,[ 810.  838.],nan,nan
nan,nan,[ 943.  487.],nan,nan
nan,nan,[ 943.  949.],nan,nan
nan,nan,[ 950.  838.],nan,nan
nan,nan,[ 943.  951.],nan,nan
nan,nan,[ 660.  953.],nan,nan
nan,nan,[ 451.  953.],nan,nan
nan,nan,[ 950.  849.],nan,nan
nan,nan,[  660.  1341.],nan,nan
nan,nan,[ 943.  957.],nan,nan
nan,nan,[  451.  1341.],nan,nan
nan,nan,[  934.  1341.],nan,nan
nan,nan,[  960.  1341.],nan,nan
nan,nan,[  961.  1341.],nan,nan
nan,nan,[  962.  1341.],nan,nan
nan,nan,[ 963.  916.],nan,nan
nan,nan,[ 964.  849.],nan,nan
nan,nan,[ 451.  660.],nan,nan
nan,nan,[ 451.  934.],nan,nan
nan,nan,[ 451.  961.],nan,nan
nan,nan,[ 451.  962.],nan,nan
nan,nan,[ 969.    3.],nan,nan
nan,nan,[  42.  971.],nan,nan
nan,nan,[ 963.  916.],nan,nan
nan,nan,[ 963.  916.],nan,nan
nan,nan,[   4.  978.],nan,nan
nan,nan,[   5.  978.],nan,nan
nan,nan,[   7.  978.],nan,nan
nan,nan,[   4.  978.],nan,nan
nan,nan,[ 978.    4.],nan,nan
nan,nan,[ 978.    4.],nan,nan
nan,nan,[ 978.    5.],nan,nan
nan,nan,[ 978.    7.],nan,nan
nan,nan,[ 978.    4.],nan,nan
nan,nan,[ 978.  992.],nan,nan
nan,nan,[ 987.  916.],nan,nan
nan,nan,[ 987.  810.],nan,nan
nan,nan,[ 978.    4.],nan,nan
nan,nan,[  987.  2261.],nan,nan
nan,nan,[ 992.    4.],nan,nan
nan,nan,[ 994.  915.],nan,nan
nan,nan,[ 995.  915.],nan,nan
nan,nan,[ 996.  943.],nan,nan
nan,nan,[ 997.   81.],nan,nan
nan,nan,[ 998.  943.],nan,nan
nan,nan,[  997.  1707.],nan,nan
